semg_rms,semg_std,semg_max,angle_mean,angle_std,angle_range,amg_rms,amg_std
66.15414,66.15414,1518.1742,56.405468,41.22192,102.36773,32.45691,32.456913
53.76449,53.76449,885.1442,56.018383,41.73679,103.246826,26.764086,26.764086
56.244297,56.244297,1567.1881,56.42993,42.09093,103.13633,28.368902,28.368904
69.54499,69.54499,1487.1735,56.292267,42.0372,102.254776,30.672115,30.672115
56.18853,56.18853,855.42126,56.38983,41.962315,103.1115,27.85625,27.856249
61.130386,61.130386,1391.4393,56.102734,42.836277,103.223335,34.270054,34.270054
60.261578,60.261578,1411.133,56.244232,42.73009,103.48505,24.176584,24.176586
97.21143,97.21143,1912.2545,54.50221,28.552622,85.08042,21.919226,21.919222
108.38238,108.38238,2034.2563,54.256805,28.647196,83.02224,22.792915,22.792915
99.9994,99.9994,1905.734,54.42671,28.444855,80.72346,21.874596,21.874594
101.62061,101.620605,2396.3123,54.581993,28.813147,82.38443,24.44272,24.442719
67.36263,67.36263,1432.1184,53.558697,35.534718,128.37141,92.83756,92.83756
62.40089,62.40089,1105.816,54.13093,34.901314,123.76952,87.085556,87.085556
57.03144,57.03144,1268.9347,53.97771,35.39415,128.2994,89.43571,89.43571
56.7227,56.7227,1247.4569,53.327904,36.193188,125.76773,95.42643,95.42644
144.53827,144.53827,1473.0062,68.199066,33.65194,103.33665,24.844275,24.844273
141.96222,141.96222,1820.7454,66.25907,38.434635,105.25325,30.01733,30.017332
138.31148,138.31148,1572.7345,66.63579,38.23716,103.94053,29.089428,29.089428
128.6049,128.6049,1540.9424,64.16298,36.0377,107.79301,29.75571,29.755709
134.92543,134.92543,1628.6573,62.98349,35.24895,98.144806,30.742897,30.742897
133.20454,133.20454,1630.0262,62.58188,37.55533,100.08086,27.30567,27.30567
126.682335,126.682335,1474.9113,64.325874,34.931824,102.65358,28.707869,28.707869
128.52585,128.52585,1803.9674,64.37947,37.125675,99.886284,24.188913,24.188915
144.6533,144.6533,1587.5323,57.889988,37.06492,112.2761,16.914818,16.91482
136.8804,136.88039,1287.8217,58.21772,37.324154,113.715004,18.923355,18.923359
126.06309,126.06309,1391.7913,58.294395,37.845074,114.55866,19.983343,19.983345
136.67633,136.67632,1953.1519,58.522305,38.731293,116.406845,21.2343,21.234303
102.18992,102.18992,1786.1083,58.98929,29.010515,102.00968,70.558495,70.55849
99.83381,99.83381,1629.0437,59.003696,29.645508,103.20192,101.4044,101.404396
106.53144,106.53145,1571.4595,58.568066,29.296978,98.63088,113.24951,113.24951
99.99551,99.99551,2122.8657,58.25968,29.890564,97.635185,131.32414,131.32414
144.00305,144.00305,2622.2727,59.517586,38.61204,100.45967,19.734123,19.734121
160.24443,160.24443,2486.0151,58.929897,38.831825,99.606415,22.35963,22.359627
161.68987,161.68987,2786.4167,58.97298,38.33538,98.01563,20.971153,20.971153
131.84882,131.84882,2491.6052,58.680153,38.051476,96.63258,19.601633,19.601633
159.72458,159.7246,2968.634,58.033016,39.582664,95.02721,21.60096,21.60096
254.2776,254.2776,4171.0854,58.746857,39.040535,97.61421,20.379013,20.379011
208.38318,208.38318,3267.9983,58.848324,38.878475,99.92473,19.099283,19.099281
