semg_rms,semg_std,semg_p25,semg_p75,semg_p95,angle_mean,angle_std,angle_range,angle_p25,angle_p75,angle_p95,amg_rms,amg_std,amg_p95
59.969776,59.969776,-15.48955,14.146379,64.513664,62.615356,37.317856,93.98909,18.3119,97.31401,103.765274,31.993694,31.993696,41.605923
63.048367,63.048367,-17.853497,16.512177,68.71793,62.720993,36.97688,93.580666,18.569948,97.501816,102.981,29.664696,29.664696,39.90613
86.69221,86.69221,-26.121965,25.37642,101.43709,61.491325,25.927492,81.70621,37.49107,74.51219,105.0264,15.0680685,15.0680685,23.310375
62.751034,62.751034,-24.949522,24.08791,87.68815,61.341465,26.14781,80.39368,39.642685,73.59305,104.14017,13.75974,13.75974,20.824936
68.17679,68.17679,-24.998987,24.177292,89.65795,61.554718,25.199623,78.29532,41.738266,73.10764,102.51643,15.064697,15.064696,22.56205
70.6443,70.64431,-25.676418,25.072115,92.02832,61.70486,24.256577,76.676865,43.257732,72.82313,101.50171,14.349416,14.349418,21.340511
113.22177,113.22177,-25.09687,22.70799,106.76128,61.612286,31.869488,101.379486,25.753464,88.73473,100.96986,77.56732,77.56732,105.12291
90.97919,90.97919,-23.347786,21.535027,93.56342,61.872177,32.37059,101.74746,23.80888,90.09987,101.891464,73.96728,73.96728,99.57891
98.56992,98.56992,-23.600645,20.89844,98.43272,61.343216,31.844522,98.95922,24.07682,88.432556,99.207146,83.43731,83.43732,113.138245
92.8168,92.8168,-22.988445,21.343304,101.61281,61.456882,31.60554,100.50195,25.066734,87.91924,99.57259,75.30544,75.30544,111.12194
44.178993,44.178993,-17.975552,17.774399,57.73921,63.011246,35.717545,96.9775,20.5612,94.668144,105.72135,18.87737,18.87737,27.94992
45.982246,45.982246,-17.36844,18.244051,57.446743,62.90557,36.48179,97.40852,19.006699,95.71875,106.074394,17.410492,17.410492,26.127556
42.536846,42.536846,-17.04931,17.406132,50.119446,62.04268,37.557293,96.466415,18.413244,95.85586,106.417175,19.6151,19.615099,28.38574
43.65793,43.65793,-16.606596,17.672634,51.86879,62.416336,37.60142,97.30094,18.230259,96.83281,106.630615,21.708124,21.70812,27.603596
48.385185,48.385185,-18.002659,18.099594,63.002586,62.445457,35.619583,95.83807,20.946266,94.73898,105.94863,20.182823,20.182825,28.014883
47.7723,47.7723,-16.481865,16.85871,60.414413,62.400196,33.994194,94.27149,24.404423,94.00277,103.65666,21.332787,21.332788,28.778595
47.261482,47.261482,-16.856949,17.003242,59.545406,61.50942,37.013687,94.45034,18.793877,94.77449,105.199394,25.405819,25.405813,33.156227
53.522675,53.52267,-18.337547,18.612846,67.475746,61.781277,37.260406,96.48264,18.856518,94.85547,105.718834,20.814684,20.814684,29.726889
50.03329,50.03329,-16.732496,16.233047,64.973885,58.449112,28.342073,91.471275,32.75524,75.24572,104.2482,13.595398,13.595397,21.30427
48.985622,48.985626,-15.078693,15.119095,63.300697,58.596783,29.038513,90.75534,32.040565,74.741234,105.889854,13.409963,13.409961,21.352856
47.59924,47.59924,-16.074554,15.973118,63.662712,59.000397,28.425621,87.688835,31.37864,75.70664,105.59584,13.993931,13.993932,21.411448
51.595394,51.595394,-17.61264,17.728912,69.64557,58.83421,27.910694,90.43712,32.06782,77.137665,105.94329,14.848081,14.848082,22.848269
57.94114,57.94114,-20.028908,20.807915,72.32497,59.62902,30.689568,113.01478,26.20113,87.65123,97.16277,90.43534,90.43535,111.67651
55.311317,55.311317,-18.78605,19.723272,62.534958,59.347507,30.765089,108.03608,25.893105,88.514595,95.13071,89.50926,89.509254,106.84954
52.1953,52.1953,-16.968683,17.92335,59.999825,59.43434,29.940582,113.3557,28.24723,86.65463,93.5437,97.83499,97.83499,106.51309
